Autores,Titulo,Ano de Publicacao,Fonte,Status,EEG,BCI,MI,Classification,Model/pipeline,Temporal_filter,Anotation
Vidaurre C.; Schlögl A.; Cabeza R.; Scherer R.; Pfurtscheller G.,Study of on-line adaptive discriminant analysis for EEG-based brain computer interfaces,2007,Scopus,depende,passou,passou,passou,passou,depende,nao_passou,"Não fala de filtro temporal, nem tenho certeza sobre ser classificação, mas nas keywords fala que é. Verificar o artigo para ver se corta ou não"
Sun L.; Feng Z.R.,Classification of imagery motor EEG data with wavelet denoising and features selection,2016,Scopus,depende,passou,passou,passou,passou,depende,depende,"O artigo fala "" wavelet denoising algorithm is proposed to reduce noise from motor imagery EEG data and a power spectral density (PSD) feature selection method is used to improve classification accuracy"". Parece usar wavelet como filtro temporal."
Yong X.; Menon C.,EEG classification of different imaginary movements within the same limb,2015,Scopus,depende,passou,passou,passou,passou,depende,depende,Fala sobre classificação de mesmo membro do corpo. Pode ser que tenha filtro temporal. Ler pra ter certeza
Mutasim A.K.; Tipu R.S.; Bashar M.R.; Islam M.K.; Amin M.A.,Computational intelligence for pattern recognition in EEG signals,2018,Scopus,depende,passou,passou,depende,depende,depende,depende,"O capitulo do livro fala ""starting from removing noises (using advanced signal processing techniques such as SWTSD, ICA, EMD, other than traditional filtering by identifying/exploiting different artifact/noise characteristics/patterns)"". Logo pode ser que aparecem filtros temporais ali de forma clara."
Du Y.; Xu R.; Zhang J.,Motor Imagery Analysis Based on Filter Bank Common Spatial Pattern,2021,Scopus,passou,passou,passou,passou,passou,passou,passou,"Usa FBCSP, logo tem filtro temporal, mas toca em outros assuntos, logo ver se tem mais coisa nele."
Leong W.Y.,"EEG signal processing: Feature extraction, selection and classification methods",2019,Scopus,depende,passou,passou,passou,depende,depende,depende,"Livro Completo com o seguinte foco ""This edited book presents state of the art aspects of EEG signal processing methods, with an emphasis on advanced strategies, case studies, clinical practices and applications such as EEG for meditation, auditory selective attention, sleep apnoea; person authentication; handedness detection, Parkinson’s disease, motor imagery, smart air travel support and brain signal classification"". Logo vai ter uma seção com só MI, ali vale a pena dar uma olhada."
Tariq M.; Trivailo P.M.; Simic M.,Classification of left and right foot kinaesthetic motor imagery using common spatial pattern,2020,Scopus,passou,passou,passou,passou,passou,passou,passou,"Artigo com resumo todo torto, mas como fala que usou FBCSP, vai ter filtro temporal."
Chacon-Murguia M.I.; Rivas-Posada E.,A CNN-based modular classification scheme for motor imagery using a novel EEG sampling protocol suitable for IoT healthcare systems,2023,Scopus,depende,passou,passou,passou,passou,passou,depende,"O artigo fala ""based on spatial patterns and time–frequency transforms; and a convolutional neural network that preserves the information of the magnitude in the frequency bands of the sensorimotor rhythms (CNN-PIM)"" logo alguma forma de filtragem temporal ocorre pelo o que parece. Ver para saber se ele se encaixa na pesquisa"
Ponferrada E.G.; Sylaidi A.; Aldo Faisal A.,Data-efficient motor imagery decoding in real-time for the cybathlon brain-computer interface race,2018,Scopus,depende,passou,passou,passou,passou,passou,depende,"Fala ""We employ a static band-pass filter and Common Spatial Patterns learnt using supervised machine learning techniques to enable the discrimination between different motor imageries"". Entretanto é um trabalho pra controle em jogos usando BCI-MI. Provalvemente o passa banda é o filtro temporal e é isso."
Chin Z.Y.; Ang K.K.; Guan C.,Multiclass voluntary facial expression classification based on Filter Bank Common Spatial Pattern,2008,Scopus,passou,passou,passou,passou,passou,passou,passou,"Artigo ta fora do escopo de filtros temporais, mas como tem FBCSP vai filtro temporal"
García-Murillo D.G.; Cárdenas-Peña D.; Castellanos-Dominguez G.,Relevance of filter bank common spatial patterns using multiple kernel learning in motor imagery,2018,Scopus,depende,passou,passou,passou,passou,depende,passou,"Esse artigo parece promissor. Ele fala ""combine the multiple spectral bands into a single representation space through the maximization of the centered kernel alignment criterion. As a result, the similarity between the measured EEG data and the available label sets is maximized, with the additional benefit of enhancing the spectral interpretation of the subject performance"". Logo é um Filter bank diferenciado"
Xu B.; Song A.; Wang A.,EEG feature extraction method based on wavelet packet energy,2010,Scopus,nao_passou,passou,passou,passou,passou,passou,passou,Ta em chines
Jiang Q.; Zhang Y.; Ge G.; Xie Z.,An Adaptive CSP and Clustering Classification for Online Motor Imagery EEG,2020,Scopus,depende,passou,passou,passou,passou,passou,nao_passou,"Fala o seguinte ""we propose an online and fast generalized eigendecomposition method by Recursive Least Squares updates of the CSP filter coefficients (RLS-CSP), which allows incremental training for CSP spatial filters"". Porem não fala de filtro temporal, ler para ter certeza que pode cortar."
