Autores,Titulo,Ano de Publicacao,Fonte,Status,EEG,BCI,MI,Classification,Model/pipeline,Temporal_filter,Anotation,Baixou
O. George; S. Dabas; A. Sikder; R. O. Smith; P. Madiraju; N. Yahyasoltani; S. I. Ahamed,State-of-the-Art Versus Deep Learning: A Comparative Study of Motor Imagery Decoding Techniques,2022,IEEE,depende,passou,passou,passou,depende,passou,depende,"Comparação de state of art e deep learning. Pode ter filtro temporal ai dentro, ler e verificar, porem tem que ter certeza que se trata de casos de classificação de MI. Artigo fala ""Considering their success in other fields, which speaks to their potential for obtaining improved results over the SOTA, they should be explored for motor imagery decoding. This study takes a comparative approach in the use of deep learning as compared with the SOTA. From our findings, we infer that neural networks are suitable for motor imagery decoding and might be preferable over the SOTA. The use of specific feature extraction is also not as necessary as seen with SOTA approaches, though it might offer some gains in performance. Our results show a statistically significant improvement in decoding accuracies, up to 20% increase, with the use of NNs as compared with the SOTA. Also, we conclude that the use of crops for data augmentation might yield better results with shallow architectures as against deeper ones and that there might be other factors affecting the effectiveness of crops, needing further investigation.""",passou
A. C. Subrata; M. Agus Riyadi; T. Prakoso,EEG-based BMI using Multi-Class Motor Imagery for Bionic Arm,2020,IEEE,depende,passou,passou,passou,depende,passou,depende,"não ficou claro se tem filtro temporal nem se o paradigma é de classificação. O artigo fala sobre ""The electrical activity of the brain recorded using electroencephalography (EEG) can be utilized for bionic arm control. The movement of grasping an object to fulfill ADL is a complex movement, so a system that is able to overcome these needs is needed. The Brain-Machine Interface (BMI) with Motor Imagery (MI) on a bionic arm multiclass control system based on Fast Fourier Transform (FFT) and Support Vector Machine (SVM) is described and discussed in this article. The system built can handle complex movements grasping various objects and evaluated for use with long pauses. The experiment results show good SVM-FFT performance when implemented on a real bionic arm. The use of Additional Movement (AM) increases classification success by up to 20%. On the other hand, this system is able to handle usage even though it has been rested in a few minutes."". Ler e verificar.",passou
Wang J.; Yao L.; Wang Y.,Enhanced Online Continuous Brain-Control by Deep Learning-Based EEG Decoding,2025,Scopus,depende,passou,passou,passou,depende,passou,passou,"Fala do uso do FBCSP e de um modelo chamado IFNet. Aparentemente tem filtro temporal, porem não ta claro ainda se o artigo se trata de um caso de classificação.",passou
H. Higashi; T. Tanaka,Optimal design of a bank of spatio-temporal filters for EEG signal classification,2011,IEEE,depende,passou,passou,passou,depende,passou,passou,"O artigo fala ""In order to efficiently extract these brain activities, we propose a method to design plural filters and spatial weights which extract desired brain activity. The proposed method designs finite impulse response (FIR) filters and the associated spatial weights by optimization of an objective function which is a natural extension of CSP. Moreover, we show by a classification experiment that the bank of FIR filters which are designed by introducing an orthogonality into the objective function can extract good discriminative features. Moreover, the experiment result suggests that the proposed method can automatically detect and extract brain activities related to motor imagery."". Porém isso não deixa claro se ele fala do uso do metodo proposto em um problema de classificação MI. Ler para ter cesreza",passou
I. Mustafa; I. Mustafa,Smart thoughts: BCI based system implementation to detect motor imagery movements,2018,IEEE,depende,passou,passou,passou,depende,passou,passou,"Tem filtro temporal na forma de um bandpass. Artigo fala ""The purpose of this research is to enable the user to send motor imagery movements commands to the computer and make sure that the computer will perform these motor imagery movements correctly and consume less time for real-time processing. For ensuring all these things an algorithm (not only algorithm a way for BCI systems to record, filter and process signals smartly) is designed. In the proposed approach, major electrodes dealing with motor imagery movement are selected and others are eliminated, which make proposed system more effective light and fast after eliminating extra electrode signals are passed by the band-pass filter for eliminating contaminated signals. Results show that proposed system is increasing the accuracy of motor imagery movement detection. Eliminating the extra data efficiently, which is making the system more light and fast. By making the number of electrodes less proposed system is optimizing the signals which enabling real-time processing much better, fast and accurate. The main purpose of the proposed approach is to make BCI based motor imagery movement detection, better, fast, efficient and performing real-time operations. Proposed work has many avenues for the future.""",passou
Fagg A.H.; Ojakangas G.W.; Miller L.E.; Hatsopoulos N.G.,Kinetic trajectory decoding using motor cortical ensembles,2009,Scopus,depende,passou,passou,passou,nao_passou,depende,depende,Artigo se trata de um caso de MI fora do escopo de classificação. Não aparenta claramente se tem filtro temporal.,passou
Liu C.; Fu Y.; Yang J.; Xiong X.; Sun H.; Yu Z.,Discrimination of motor imagery patterns by electroencephalogram phase synchronization combined with frequency band energy,2017,Scopus,depende,passou,passou,passou,nao_passou,depende,depende,"Não é um caso de Classificação, mas fala """,passou
M. Hamedi; S. -H. Salleh; S. B. Samdin; A. M. Noor,Motor imagery brain functional connectivity analysis via coherence,2015,IEEE,depende,passou,passou,passou,nao_passou,depende,depende,"Artigo não é um caso de MI de classificação, mas sim um estudo exploratorio",passou
Abdul Ameer Abbas A.; Martínez-García H.,Real-Time Motor Imagery-Based Brain–Computer Interface System by Implementing a Frequency Band Selection,2023,Scopus,depende,passou,passou,passou,passou,depende,depende,"Artigo fala ""In addition, a digital signal filter will be designed to keep the most characteristic frequency bands of each individual and increase accuracy significantly"", mas vale a pena ver com certeza",passou
Kamousi B.; Amini A.N.; He B.,Classification of motor imagery by means of cortical current density estimation and Von Neumann entropy,2007,Scopus,depende,passou,passou,passou,passou,depende,depende,"Fala ""goal of the present study is to employ the source imaging methods such as cortical current density estimation for the classification of left- and right-hand motor imagery tasks"" depois fala ""EEG was first preprocessed by surface Laplacian filtering, time-frequency filtering, noise normalization and independent component analysis"". Verificar com mais clareza sobre o que se fala.",passou
Dong F.; Wu L.; Feng Y.; Liang D.,Research on Movement Intentions of Human's Left and Right Legs Based on Electro-Encephalogram Signals,2022,Scopus,depende,passou,passou,passou,passou,depende,depende,"Parece ser meio fora da curva, pois trabalha com movimento de perna robotica usando apenas classificação. Entretanto também não fala de um modelo, mas pode ser que tenha filtro temporal. Melhor olhar mais a fundo para ter certeza antes ja que ""the EEG signals generated by the protocol were preprocessed"".",passou
Yang B.-h.; Yan G.-z.; Yan R.-g.; Wu T.,Adaptive subject-based feature extraction in brain-computer interfaces using wavelet packet best basis decomposition,2007,Scopus,depende,passou,passou,passou,passou,depende,depende,"Fala que ""electroencephalogram (EEG) signals are decomposed to a given level by wavelet packet transform"". Pode ser que isso é filtro temporal, mas vale a pena ter certeza.",nao_passou
Pa Aung K.P.; Nwe K.H.,Regions of Interest (ROI) Analysis for Upper Limbs EEG Neuroimaging Schemes,2020,Scopus,depende,passou,passou,passou,passou,depende,depende,Não fala de forma clara de um modelo nem de um metodo de filtro temporal. Mas pode ser que tenha.,passou
