Autores,Titulo,Ano de Publicacao,Fonte,status,anotation
"Tavakolan M, Yong X, Zhang X, Menon C.",Classification Scheme for Arm Motor Imagery,2016,PubMed,passou,Aparenta ter utilizado filter bank common spatial pattern e band power. Portanto parece ter filtragem temporal
"Xie Y, Oniga S.",Classification of Motor Imagery EEG Signals Based on Data Augmentation and Convolutional Neural Networks,2023,PubMed,passou,"Inconclusivo, entretanto aparenta usar Continuous Wavelet Transform e algum metodo no campo de tempo-frequencia para modificar o sinal para uma CNN. Logo ira passar para proxima etapa"
"Liu R, Zhang Z, Duan F, Zhou X, Meng Z.",Identification of Anisomerous Motor Imagery EEG Signals Based on Complex Algorithms,2017,PubMed,passou,usa filtragem temporal
Belwafi K.; Ghaffari F.; Djemal R.; Romain O.,A Hardware/Software Prototype of EEG-based BCI System for Home Device Control,2017,Scopus,passou,No resumo aparece que tem filtro adaptativo
Fagg A.H.; Ojakangas G.W.; Miller L.E.; Hatsopoulos N.G.,Kinetic trajectory decoding using motor cortical ensembles,2009,Scopus,depende,"usa um filtro decodificador linear, porem n é na area de MI de classificação. Definir com maior certeza depois se faz sentido colocar ou não"
Shin J.; Kwon J.; Im C.-H.,"A ternary hybrid EEG-NIRS brain-computer interface for the classification of brain activation patterns during mental arithmetic, motor imagery, and idle state",2018,Scopus,passou,"Vai entrar por conter BCI com EEG MI com FBCSP, logo tem filtro temporal"
Wang J.; Yao L.; Wang Y.,Enhanced Online Continuous Brain-Control by Deep Learning-Based EEG Decoding,2025,Scopus,passou,"Aparenta ter FBCSP comparando com uma rede convolucional com frequencia interativa. Com certeza tem filtro temporal, porem talvez tenham 2."
Polak Mark; Kostov Aleksandar,Feature extraction in development of brain-computer interface: A case study,1998,Scopus,depende,"Um trabalho de BCI EEG, nao sei se MI mas fala do cortex sensorimotor. Vale a pena dar uma olhada pq fala de FFT e AR. Ainda assim parece usar como feature extraction e n filtro, porem deixo pendente para mais uma avaliacao"
Mahamune R.; Laskar S.H.,Feature Extraction Techniques for the Classification of Four-Class Motor Imagery Based EEG Data: A Comparison,2021,Scopus,depende,"Aparenta possuir metodos que servem no campo de filtragem temporal, mas com o intuito de servir como feature extraction. Ver com mais clareza para ter certeza"
Zhang Y.; Zhang C.; Sun S.; Xu G.,Research on motor imagery recognition based on feature fusion and transfer adaptive boosting,2025,Scopus,passou,"mostra o uso do FBCSP logo vai ter filtragem temporal, porem usa outros metodos tambem que sao do campo de filtragem temporal so que como extracao de caracteristicas."
Xie Y.; Oniga S.,Enhancing Motor Imagery Classification in Brain–Computer Interfaces Using Deep Learning and Continuous Wavelet Transform,2024,Scopus,depende,"aparecem alguns filtros temporais, mas ele nao diz se usa como feature extraction ou filtro temporal"
Thomas K.P.; Guan C.; Tong L.C.; Prasad V.A.,An adaptive filter bank for motor imagery based Brain Computer Interface,2008,Scopus,passou,"filter bank adaptativo, tem filtro temporal"
Wang J.; Feng Z.; Lu N.; Luo J.,Toward optimal feature and time segment selection by divergence method for EEG signals classification,2018,Scopus,passou,usa filtro temporal (a broad frequency band filtering)
