Titulo,Autores,Ano de Publicacao,Fonte
AutoEncoder Filter Bank Common Spatial Patterns to Decode Motor Imagery From EEG,N. Mammone; C. Ieracitano; H. Adeli; F. C. Morabito,2023,IEEE
Enhancement of Time-Frequency Energy for the Classification of Motor Imagery Electroencephalogram Based on an Improved FitzHugh–Nagumo Neuron System,R. Chen; G. Xu; Y. Jia; C. Zhou; Z. Wang; J. Pei; C. Han; Y. Wang; S. Zhang,2023,IEEE
Motor Imagery EEG Classification Based on Riemannian Sparse Optimization and Dempster-Shafer Fusion of Multi-Time-Frequency Patterns,J. Jin; T. Qu; R. Xu; X. Wang; A. Cichocki,2023,IEEE
FBMSNet: A Filter-Bank Multi-Scale Convolutional Neural Network for EEG-Based Motor Imagery Decoding,K. Liu; M. Yang; Z. Yu; G. Wang; W. Wu,2023,IEEE
Feature Extraction and Classification of EEG Signal Based on Deep Learning,S. Xue; X. Geng; D. Li,2022,IEEE
Feature bands study of MI signals based on FBCSP for CNN,L. Wang; X. Deng; Q. Jiang; L. Zheng; C. Yang; L. Mo,2022,IEEE
A study of EEG motor imagery classification algorithm based on WPD-AFBCSP,Z. Cui; B. Guo; J. Zhang; Z. Wang,2022,IEEE
Time-frequency analysis and spiking neural network for motor imagery EEG classification,Z. Liu; L. Wang; S. Xu,2022,IEEE
An Algorithm for Motor Imagery Classification Based on Transfer Learning and Feature Fusion,S. Wang; J. Wu; D. Zhang; D. Suo; T. Yan,2022,IEEE
Multi-class Motor Imagery Classification Method Using One-dimensional Convolutional Neural Networks,D. Li; Y. Ma; S. Hu; Y. Su; Y. Ruan; Q. Lin,2022,IEEE
Effect of EOG Artifact Removal on EEG Motor-Imagery Classification,M. A. Iqbal; M. M. Rahman; S. Muhtasim; S. E. Uddin Shubha; M. Hasan,2022,IEEE
Employing Deep Learning and Discrete Wavelet Transform Approach to Classify Motor Imagery Based Brain Computer Interface System,A. S. Ghafari; E. Azizi,2022,IEEE
Motor Imagery EEG Recognition Based on Weight-Sharing CNN-LSTM Network,Y. Liu; B. Zhao; S. Zhang; W. Xiao,2022,IEEE
Brain-Computer Interface Based Control for Disabled,M. Sharma; N. Rafiuddin; M. Sarfaraz; Y. Uzzaman Khan,2022,IEEE
Motor Imagery based EEG Signal Classification using Multi-scale CNN Architecture,K. Pratyusha; K. S. Devi; S. Ari,2022,IEEE
Subject Wise Motor Imagery Classification from EEG Data Using Transfer Learning,A. A. Khan; A. Hassan; M. T. Jahangir,2022,IEEE
An Effect of Limb Position in Motor Imagery Training Paradigm in Immersive Virtual Environment,S. Kiatthaveephong; S. Santiwongkarn; R. Chaisaen; C. Rungsilp; T. Yagi; T. Wilaiprasitporn,2022,IEEE
Motor Imagery Hand Movements Recognition Using SVM Classifier and Genetic Algorithm Optimization,A. Reffad; K. Mebarkia,2022,IEEE
Motor-imagery EEG signal decoding using multichannel-empirical wavelet transform for brain computer interfaces,I. Siviero; L. Brusini; G. Menegaz; S. F. Storti,2022,IEEE
Cognitive Computing for Brain–Computer Interface-Based Computational Social Digital Twins Systems,Z. Lv; L. Qiao; H. Lv,2022,IEEE
A Brain to UAV Communication Model using Stacked Ensemble CSP algorithm based on Motor Imagery EEG signal,S. Parui; D. Basu; U. Ghosh; R. Datta,2022,IEEE
Combining CNN with Autoencoder for Motor-Imagery Classification,J. Karthika; M. Ganesan; R. Lavanya,2022,IEEE
Application of Transfer Learning in Optimized Filter-Bank Regularized CSP to Classification of EEG Signals with Small Dataset,M. M. Esfahani; H. Sadati,2022,IEEE
Multi-classification for EEG Motor Imagery Signals using Auto-selected Filter Bank Regularized Common Spatial Pattern,Y. An; S. H. Han; S. Ho Ling,2022,IEEE
Artificial Intelligence in Brain Computer Interface,A. Subasi,2022,IEEE
